frameNumber,repetition,user0_components,user0_effectiveError,user0_delay_ms,user0_cqi,user0_frame_rate,user1_components,user1_effectiveError,user1_delay_ms,user1_cqi,user1_frame_rate,user2_components,user2_effectiveError,user2_delay_ms,user2_cqi,user2_frame_rate,user3_components,user3_effectiveError,user3_delay_ms,user3_cqi,user3_frame_rate,user4_components,user4_effectiveError,user4_delay_ms,user4_cqi,user4_frame_rate,user5_components,user5_effectiveError,user5_delay_ms,user5_cqi,user5_frame_rate,user6_components,user6_effectiveError,user6_delay_ms,user6_cqi,user6_frame_rate,user7_components,user7_effectiveError,user7_delay_ms,user7_cqi,user7_frame_rate,user8_components,user8_effectiveError,user8_delay_ms,user8_cqi,user8_frame_rate,user9_components,user9_effectiveError,user9_delay_ms,user9_cqi,user9_frame_rate,num_users,error_at_80,error_ratio
107,1,35,1348.502767,3.025548,15,120,75,751.653029,3.518171,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,738.2369461869262,2.936052440531262
108,1,55,1124.332026,2.752693,15,120,50,1211.425877,2.766774,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,703.0633281996063,3.0800861789188487
110,1,10,1899.262851,2.292452,15,120,35,1344.423422,9.832826,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,709.2992173945926,3.047015441458889
111,1,50,1222.19559,2.174239,15,120,75,771.308638,3.47143,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,757.614041284123,2.8531980473691205
112,1,20,1596.26347,2.288431,15,120,10,1895.451263,2.037451,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,809.8189806091215,2.667761109659611
113,1,30,1460.921631,2.110018,15,120,30,1460.921631,5.389061,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,859.9214832142706,2.519675410517243
114,1,55,1218.559491,2.878648,15,120,10,1914.115855,2.430824,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,907.5156052274556,2.404497942658586
115,1,55,1240.270086,2.768014,15,120,55,1240.270086,2.940548,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,946.9638214895886,2.314657757211544
116,1,5,2185.639446,2.484295,15,120,50,1295.308204,2.956157,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,961.2451923743288,2.273758520289835
117,1,80,974.204059,2.864655,15,120,20,1613.566904,2.101217,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,974.2040587282548,2.239081291960197
118,1,30,1474.429846,2.259188,15,120,30,1474.429846,2.160741,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,994.2806304542252,2.197142804033027
119,1,40,7651.892928,2.05594,15,120,60,6285.513209,5.580376,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5696.024938689856,2.196524981294935
121,1,5,2079.679731,2.493124,15,120,15,1511.319006,2.067478,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,712.6524406113573,2.918224386756568
122,1,1,3705.782023,2.337922,15,120,75,738.121015,2.861018,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,731.6374199780491,2.863566010793983
123,1,50,888.00258,2.270135,15,120,70,723.644418,2.559344,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,703.0278494294297,2.9844178552315963
124,1,5,2114.412424,2.070246,15,120,45,909.651017,2.996893,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,685.1843911099977,3.0859027895876787
125,1,15,1580.27434,2.697948,15,120,5,2140.02573,2.418428,14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,677.229784087831,3.159969895397783
