user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
7,billiards,static,50,1019.1744421651564,0.032225579053373615,6.987210187311177
8,billiards,static,50,1050.2572660000003,0.0,12.053764295131845
9,billiards,static,50,987.2117393887779,0.06513026052104208,6.04937876252505
0,billiards,static,55,1050.2572660000003,0.0,11.799975477955911
1,billiards,static,55,1050.2572660000003,0.0,89.5012880819672
2,billiards,static,55,1050.2572660000005,0.0,136.9917195723542
3,billiards,static,55,1050.2572660000005,0.0,44.503170834890966
4,billiards,static,55,1050.2572660000003,0.0,64.09031994270835
5,billiards,static,55,1050.2572660000003,0.0,124.53293567255717
6,billiards,static,55,1050.2572660000003,0.0,22.934241348004093
7,billiards,static,55,1050.2572660000003,0.0,29.394116022177418
8,billiards,static,55,1050.2572660000003,0.0,22.074577894523326
9,billiards,static,55,1050.2572660000003,0.0,15.489115742943548
0,billiards,static,60,1050.2572660000003,0.0,8.43259359859155
1,billiards,static,60,1050.2572660000003,0.0,63.67820472626262
2,billiards,static,60,1050.2572660000005,0.0,76.79160374386339
3,billiards,static,60,1050.2572660000003,0.0,51.29192183877767
4,billiards,static,60,1050.2572660000005,0.0,112.0033229300323
5,billiards,static,60,1050.2572660000003,0.0,132.3411742206047
6,billiards,static,60,1050.2572660000005,0.0,45.68301303842049
7,billiards,static,60,1050.2572660000003,0.0,8.667253447342025
8,billiards,static,60,1050.2572660000003,0.0,14.386333008247421
9,billiards,static,60,1050.2572660000003,0.0,13.947469120603015
0,billiards,static,65,1050.2572660000003,0.0,9.608351455823293
1,billiards,static,65,1050.2572660000005,0.0,102.33459856878851
2,billiards,static,65,1050.2572660000003,0.0,55.353209564075634
3,billiards,static,65,1050.2572660000005,0.0,62.3797828566879
4,billiards,static,65,1050.2572660000005,0.0,107.52852411526148
5,billiards,static,65,1050.2572660000005,0.0,138.82872802081053
6,billiards,static,65,1050.2572660000005,0.0,28.312805875406283
7,billiards,static,65,1050.2572660000003,0.0,23.94479697775531
8,billiards,static,65,1050.2572660000003,0.0,17.759451753943218
9,billiards,static,65,1050.2572660000003,0.0,67.23660433401223
0,billiards,static,70,1050.2572660000003,0.0,17.303115801217036
1,billiards,static,70,1050.2572660000003,0.0,108.80273956827732
2,billiards,static,70,1050.2572660000005,0.0,59.485456871204185
3,billiards,static,70,1050.2572660000003,0.0,63.40664282728273
4,billiards,static,70,1050.2572660000005,0.0,113.82580835143769
5,billiards,static,70,1050.2572660000005,0.0,117.83487966514805
6,billiards,static,70,1050.2572660000005,0.0,42.18586131862217
7,billiards,static,70,1050.2572660000003,0.0,19.668823100609757
8,billiards,static,70,1050.2572660000003,0.0,44.43808132231404
9,billiards,static,70,1050.2572660000003,0.0,51.743108542857144
0,billiards,static,75,1050.2572660000003,0.0,9.774761118951613
1,billiards,static,75,1050.2572660000003,0.0,111.00326170682301
2,billiards,static,75,1050.2572660000003,0.0,22.95209593277311
3,billiards,static,75,1050.2572660000005,0.0,85.80849206596305
4,billiards,static,75,1050.2572660000003,0.0,134.86203825527193
5,billiards,static,75,1050.2572660000003,0.0,56.87272585465116
6,billiards,static,75,1050.2572660000005,0.0,34.59585271171171
7,billiards,static,75,1050.2572660000003,0.0,31.53594693545082
8,billiards,static,75,1050.2572660000003,0.0,76.414274479638
9,billiards,static,75,1050.2572660000003,0.0,96.92815590117647
0,billiards,static,80,1050.2572660000003,0.0,18.59431358224016
1,billiards,static,80,1050.2572660000003,0.0,103.21605091441444
2,billiards,static,80,1050.2572660000005,0.0,25.61290731034483
3,billiards,static,80,1050.2572660000003,0.0,90.52486912753623
4,billiards,static,80,1050.2572660000003,0.0,94.93238607333333
5,billiards,static,80,1050.2572660000003,0.0,79.68929329644268
6,billiards,static,80,1050.2572660000003,0.0,66.54970074189815
7,billiards,static,80,1050.2572660000003,0.0,28.036513765143464
8,billiards,static,80,1050.2572660000005,0.0,33.75664414561028
9,billiards,static,80,1050.2572660000005,0.0,94.43256077579616
